,n = 500,n = 1000,n = 1500,n = 2000
535,0.014,0.009,0.007333333333333333,0.004
536,0.012,1.0,1.0,0.0045
537,0.016,0.013,0.005333333333333333,0.0055
538,0.02,1.0,0.005333333333333333,0.0035
539,0.992,0.01,0.006,0.0035
540,0.016,0.009,0.005333333333333333,0.008
541,1.0,0.015,0.008,1.0
542,0.036,1.0,0.008,0.006
543,0.014,0.009,0.007333333333333333,0.0045
544,0.016,0.013,0.006666666666666667,0.004
545,0.012,0.007,0.009333333333333334,1.0
546,0.014,0.007,0.005333333333333333,0.005
547,0.994,0.007,0.006666666666666667,0.0035
548,0.996,0.006,1.0,0.006
549,0.994,0.009,0.008666666666666666,0.0055
550,0.018,0.006,0.006666666666666667,0.0085
551,0.99,0.007,0.007333333333333333,0.004
552,0.022,0.012,0.007333333333333333,0.0065
553,0.012,0.009,0.006666666666666667,0.0035
554,0.988,1.0,1.0,0.0055
555,0.014,0.009,0.004666666666666667,0.004
556,0.014,0.009,0.006,0.0035
557,0.016,0.007,0.008666666666666666,0.0045
558,0.018,0.008,0.006666666666666667,0.005
559,0.014,0.007,0.005333333333333333,0.004
560,0.016,0.007,0.006666666666666667,0.0035
561,0.012,0.008,0.004666666666666667,0.007
562,0.014,0.008,0.004666666666666667,1.0
563,0.012,1.0,0.005333333333333333,0.0035
564,0.996,0.006,0.006,0.005
565,0.016,0.01,0.004666666666666667,0.0045
566,0.014,0.007,0.011333333333333334,0.007
567,0.996,0.007,0.010666666666666666,0.0055
568,0.014,0.006,0.006,0.01
569,0.014,1.0,0.005333333333333333,0.0045
570,0.016,0.006,1.0,0.005
571,0.014,0.006,0.006666666666666667,0.0065
572,0.012,0.009,0.9993333333333333,0.0045
573,0.984,1.0,0.006666666666666667,0.0065
574,0.014,0.008,0.004666666666666667,0.005
575,0.016,0.006,0.007333333333333333,0.005
576,0.012,0.01,0.005333333333333333,0.009
577,0.012,0.006,0.006,0.005
578,0.014,0.006,1.0,0.0035
579,0.014,0.006,1.0,1.0
580,0.014,0.009,0.005333333333333333,1.0
581,0.994,0.012,0.006,0.0035
582,0.014,0.011,1.0,0.004
583,0.012,0.009,0.005333333333333333,0.004
584,0.018,0.013,0.006,0.0045
585,0.016,0.008,0.008,1.0
586,0.014,0.013,0.004666666666666667,1.0
587,0.014,0.008,0.004666666666666667,0.0035
588,0.012,0.007,0.008,1.0
589,0.014,0.009,0.006,0.008
590,0.996,0.006,1.0,0.0075
591,0.018,0.008,0.005333333333333333,1.0
592,0.018,0.008,0.005333333333333333,0.005
593,0.018,0.007,1.0,1.0
594,0.014,0.007,0.006,0.0035
595,0.992,0.007,0.008,0.0045
596,0.018,0.008,0.004666666666666667,0.005
597,0.03,0.008,0.006,0.004
598,0.012,0.006,0.008,0.0045
599,0.012,0.017,0.005333333333333333,0.0045
600,0.012,0.008,0.006666666666666667,0.005
601,0.022,0.009,1.0,1.0
602,0.018,0.008,1.0,0.0035
603,0.014,0.015,0.009333333333333334,0.0035
604,0.014,1.0,1.0,0.0075
605,0.012,0.008,1.0,0.004
606,0.018,0.008,0.004666666666666667,0.0055
607,0.992,0.006,0.007333333333333333,0.0035
608,0.012,0.006,0.006666666666666667,0.0045
609,0.018,0.007,0.007333333333333333,0.0055
610,0.012,0.006,0.006,0.0065
611,0.028,0.007,0.004666666666666667,1.0
612,0.012,0.008,0.9993333333333333,0.0035
613,0.018,1.0,1.0,0.9995
614,0.014,1.0,0.004666666666666667,0.0035
615,0.018,0.008,0.004666666666666667,0.0045
616,0.012,0.006,0.006,0.0045
617,0.012,0.007,1.0,0.006
618,0.016,0.007,0.008,0.0035
619,0.012,0.006,0.004666666666666667,0.0035
620,0.012,0.009,0.01,0.0035
621,0.998,0.014,1.0,0.0045
622,0.012,0.008,0.006666666666666667,0.9995
623,0.012,0.006,0.008666666666666666,0.0045
624,0.016,0.006,0.007333333333333333,1.0
625,0.032,0.012,0.007333333333333333,0.0035
626,0.016,0.006,0.005333333333333333,0.0035
627,0.016,0.999,0.006,0.009
628,0.016,0.01,0.004666666666666667,1.0
629,0.014,0.011,0.007333333333333333,0.0045
630,0.024,0.013,1.0,0.0035
631,0.012,1.0,0.006,1.0
632,0.014,0.006,0.004666666666666667,0.0105
633,0.016,0.011,0.9993333333333333,1.0
634,0.014,1.0,0.004666666666666667,0.9995
635,0.012,0.006,0.006,0.004
636,0.022,0.011,0.006666666666666667,1.0
637,0.012,0.006,0.008,0.008
638,0.012,0.007,0.006,0.0055
639,0.012,0.008,0.006666666666666667,0.008
640,0.014,0.016,0.006666666666666667,1.0
