,n = 500,n = 1000,n = 1500,n = 2000
546,0.048,0.04,0.04133333333333333,0.032
547,0.074,0.034,0.04133333333333333,0.0295
548,0.062,0.04,0.035333333333333335,0.0245
549,0.046,0.049,0.029333333333333333,0.0295
550,0.058,0.042,0.04133333333333333,0.031
551,0.052,0.039,0.03866666666666667,0.0425
552,0.048,0.043,0.03133333333333333,0.03
553,0.098,0.042,0.03666666666666667,0.03
554,0.062,0.041,0.03,0.0315
555,0.052,0.044,0.029333333333333333,0.025
556,0.056,0.033,0.030666666666666665,0.029
557,0.046,0.041,0.030666666666666665,0.0265
558,0.062,0.042,0.03866666666666667,0.0315
559,0.07,0.032,0.03333333333333333,0.0345
560,0.054,0.044,0.029333333333333333,0.03
561,0.058,0.033,0.034666666666666665,0.034
562,0.05,0.037,0.03266666666666666,0.03
563,0.05,0.04,0.03133333333333333,0.037
564,0.05,0.039,0.028666666666666667,0.031
565,0.054,0.043,0.030666666666666665,0.0285
566,0.048,0.034,0.03133333333333333,0.0285
567,0.074,0.054,0.03133333333333333,0.032
568,0.046,0.037,0.029333333333333333,0.0295
569,0.052,0.045,0.028666666666666667,0.0315
570,0.052,0.04,0.03266666666666666,0.031
571,0.054,0.05,0.03333333333333333,0.026
572,0.052,0.036,0.03,0.0305
573,0.072,0.047,0.04,0.0295
574,0.062,0.039,0.03266666666666666,0.029
575,0.058,0.042,0.03,0.0315
576,0.05,0.033,0.03666666666666667,0.032
577,0.064,0.072,0.03266666666666666,0.0265
578,0.058,0.035,0.034666666666666665,0.0275
579,0.058,0.04,0.034,0.026
580,0.06,0.034,0.04,0.0285
581,0.05,0.058,0.028,0.0285
582,0.064,0.037,0.035333333333333335,0.032
583,0.064,0.035,0.03266666666666666,0.026
584,0.052,0.039,0.032,0.0285
585,0.058,0.041,0.032,0.029
586,0.064,0.05,0.03133333333333333,0.028
587,0.054,0.044,0.038,0.0255
588,0.056,0.042,0.03333333333333333,0.0265
589,0.052,0.038,0.028,0.026
590,0.056,0.048,0.03266666666666666,0.0235
591,0.06,0.039,0.029333333333333333,0.028
592,0.054,0.036,0.028666666666666667,0.0305
593,0.054,0.035,0.028666666666666667,0.027
594,0.054,0.037,0.03933333333333333,0.029
595,0.06,0.053,0.035333333333333335,0.028
596,0.052,0.036,0.034666666666666665,0.0235
597,0.058,0.033,0.03,0.0265
598,0.054,0.039,0.03,0.0395
599,0.058,0.059,0.03866666666666667,0.027
600,0.046,0.037,0.03333333333333333,0.0255
601,0.054,0.039,0.044,0.024
602,0.046,0.038,0.028666666666666667,0.03
603,0.05,0.042,0.034666666666666665,0.0355
604,0.052,0.04,0.035333333333333335,0.026
605,0.05,0.035,0.03266666666666666,0.0275
606,0.046,0.041,0.028,0.027
607,0.046,0.046,0.04066666666666666,0.0315
608,0.062,0.047,0.037333333333333336,0.0315
609,0.064,0.041,0.03333333333333333,0.036
610,0.056,0.038,0.028,0.025
611,0.05,0.034,0.04,0.0275
612,0.048,0.041,0.03266666666666666,0.0305
613,0.052,0.047,0.03,0.03
614,0.05,0.038,0.032,0.0305
615,0.064,0.041,0.035333333333333335,0.025
616,0.072,0.037,0.038,0.0295
617,0.07,0.052,0.028666666666666667,0.027
618,0.052,0.038,0.03,0.0345
619,0.056,0.035,0.030666666666666665,0.03
620,0.092,0.035,0.03666666666666667,0.034
621,0.056,0.041,0.030666666666666665,0.0265
622,0.056,0.035,0.027333333333333334,0.0275
623,0.064,0.041,0.03,0.0335
624,0.068,0.043,0.03266666666666666,0.031
625,0.05,0.04,0.03266666666666666,0.0345
626,0.05,0.039,0.034666666666666665,0.0225
627,0.064,0.041,0.030666666666666665,0.026
628,0.048,0.034,0.03,0.0275
629,0.046,0.046,0.030666666666666665,0.026
630,0.072,0.042,0.032,0.03
631,0.048,0.039,0.03133333333333333,0.0275
632,0.048,0.042,0.03266666666666666,0.036
